kab,penerimaan,pengeluaran,jumlah_art
Kaur,34121428,30046428.57,3
Bengkulu Tengah,20496892,28460857.14,3
Bengkulu Tengah,25072000,36196857.14,3
Kaur,41800000,35660714.29,4
Bengkulu Tengah,21107557,34944285.71,5
Bengkulu Tengah,7976944,25283142.86,3
Bengkulu Tengah,11800000,24899571.43,4
Bengkulu Tengah,24685185,22466000,3
Kaur,4800000,11539000,1
Kaur,16983571,17350000,2
Bengkulu Tengah,20000000,35905571.43,2
Kaur,22780000,25559785.71,2
Bengkulu Tengah,8730634,28236000,4
Bengkulu Tengah,23700000,21855714.29,4
Bengkulu Tengah,75920000,65820000,5
Bengkulu Tengah,18000000,37758285.71,4
Kota Bengkulu,22920000,22906857.14,5
Bengkulu Tengah,32380000,37153714.29,5
Bengkulu Tengah,36964286,29992714.29,6
Bengkulu Tengah,57696228,34609071.43,4
Bengkulu Tengah,27216000,26670428.57,4
Bengkulu Tengah,12876800,11903714.29,1
Bengkulu Tengah,19240000,21219714.29,5
Bengkulu Tengah,35570000,35375285.71,4
Bengkulu Tengah,18200000,49330000,4
Bengkulu Tengah,9066046,22900000,2
Bengkulu Tengah,26055754,25497857.14,3
Bengkulu Tengah,3036000,8378000,1
Bengkulu Tengah,34400000,31264285.71,3
Bengkulu Tengah,44100000,35005142.86,3
Bengkulu Tengah,5420000,9642142.857,4
Bengkulu Tengah,24661336,26778142.86,2
Bengkulu Tengah,8200000,28262285.71,7
Bengkulu Tengah,26810000,24154428.57,4
Bengkulu Tengah,23244955,30698000,2
Bengkulu Tengah,37730000,46231142.86,2
Bengkulu Tengah,8992285,9543142.857,1
Bengkulu Tengah,2748000,8719714.286,1
Bengkulu Tengah,11960937,14448571.43,5
Bengkulu Tengah,19928000,26842571.43,6
Bengkulu Tengah,16598000,14753428.57,6
Bengkulu Tengah,121840000,120853714.3,3
Kaur,11623113,21166285.71,2
Bengkulu Tengah,34600000,33394000,4
Bengkulu Tengah,11428000,16041714.29,1
Kaur,34511000,25628285.71,6
Bengkulu Tengah,19360000,19325714.29,1
Kaur,24600000,19884571.43,2
Bengkulu Tengah,35545000,36147857.14,6
Bengkulu Tengah,37803000,52217142.86,6
Bengkulu Tengah,60805000,61897285.71,2
Bengkulu Tengah,18049000,25013571.43,4
Bengkulu Tengah,42468819,53598571.43,4
Bengkulu Tengah,22760000,50631994.29,5
Bengkulu Tengah,19852000,32880000,4
Bengkulu Tengah,14041547,27547874.29,3
Bengkulu Tengah,72500000,62101142.86,5
Bengkulu Tengah,15500000,19348714.29,1
Kaur,70200000,24980000,2
Kaur,25278571,25255214.29,3
Bengkulu Tengah,23869255,23269142.86,2
Kaur,25785000,26222571.43,4
Kaur,19835000,19679000,2
Bengkulu Tengah,41500000,25101714.29,2
Bengkulu Tengah,16948142,16948142.86,1
Bengkulu Tengah,11201428,10601428.57,1
Bengkulu Tengah,44830000,42315857.14,8
Bengkulu Tengah,19225000,46907000,6
Bengkulu Tengah,42235000,33132714.29,9
Bengkulu Tengah,11790000,17127714.29,5
Bengkulu Tengah,18046116,26354285.71,5
Bengkulu Tengah,362720000,66561428.57,3
Bengkulu Tengah,2141511,10189714.29,2
Bengkulu Tengah,26920000,26618571.43,4
Kaur,36044285,34912428.57,6
Bengkulu Tengah,11375097,14862857.14,2
Bengkulu Tengah,5699500,15904857.14,4
Bengkulu Tengah,18986499,37022571.43,6
Bengkulu Tengah,14291857,13855428.57,1
Bengkulu Tengah,7061482,28485714.29,5
Kota Bengkulu,24000000,24036571.43,2
Bengkulu Tengah,9580000,15154428.57,2
Bengkulu Tengah,12992000,36718714.29,5
Bengkulu Tengah,28650000,47437142.86,4
Bengkulu Tengah,4750000,22765000,2
Bengkulu Tengah,76637091,47134571.43,5
Bengkulu Tengah,12000000,15295857.14,2
Bengkulu Tengah,16600000,54221498.29,2
Kaur,7235000,4838142.857,1
Bengkulu Tengah,76164986,57634428.57,5
Bengkulu Tengah,21700000,33095428.57,2
Bengkulu Tengah,7287000,12659357.14,3
Kota Bengkulu,10309499,34337857.14,2
Bengkulu Tengah,33046046,99217142.86,4
Kaur,33340000,32761214.29,2
Bengkulu Tengah,53840000,56059000,2
Bengkulu Tengah,26393272,44085285.71,5
Kota Bengkulu,52000000,54515000,1
Kota Bengkulu,-8000000,79540000,3
Bengkulu Tengah,62050000,33437142.86,5
Kaur,70507716,35233571.43,6
Bengkulu Tengah,27380000,20014000,2
Kaur,48000000,14951428.57,2
Bengkulu Tengah,3210000,7373714.286,1
Bengkulu Tengah,24200000,24117857.14,3
Kota Bengkulu,13830000,13922857.14,1
Kaur,1805000,5037857.143,1
Bengkulu Tengah,39715000,37519142.86,2
Bengkulu Tengah,24840000,29825714.29,4
Bengkulu Tengah,4195378,16617857.14,2
Kaur,26480624,19274857.14,5
Bengkulu Tengah,13316290,15900857.14,2
Bengkulu Tengah,21220000,12554571.43,4
Bengkulu Tengah,27220000,25375857.14,4
Bengkulu Tengah,57528572,21336982.86,2
Bengkulu Tengah,30298000,43006857.14,3
Kota Bengkulu,65969000,39696571.43,4
Bengkulu Tengah,17660332,21530428.57,4
Bengkulu Tengah,38052150,22459000,4
Bengkulu Tengah,23461426,37904657.14,3
Kota Bengkulu,18650000,36192571.43,3
Bengkulu Tengah,8687378,16912000,8
Bengkulu Tengah,11860857,11276571.43,1
Bengkulu Tengah,28980000,28030284.86,3
Bengkulu Tengah,74780165,58613142.86,5
Bengkulu Tengah,37780000,47204285.71,2
Bengkulu Tengah,18200000,19840571.43,4
Bengkulu Tengah,41198830,36425142.86,3
Bengkulu Tengah,48100000,34500000,5
Bengkulu Tengah,1558000,6319428.571,1
Kota Bengkulu,86300000,67580571.43,7
Bengkulu Tengah,17914286,41582857.14,4
Bengkulu Tengah,11393814,22809428.57,3
Bengkulu Tengah,11333615,11923428.57,1
Bengkulu Tengah,18616872,26425714.29,5
Bengkulu Tengah,2884607,12866857.14,3
Bengkulu Tengah,3500000,3789357.143,1
Bengkulu Tengah,19810000,21217142.86,3
Bengkulu Tengah,8798194,23507857.14,3
Bengkulu Tengah,16592267,17688571.43,3
Bengkulu Tengah,15780000,20130714.29,2
Kaur,39271162,36051571.43,3
Bengkulu Tengah,68007000,46651428.57,6
Bengkulu Tengah,54960000,16725428.57,4
Bengkulu Tengah,6528000,7018000,1
Bengkulu Tengah,54960000,30951428.57,4
Bengkulu Tengah,31476450,25714285.71,5
Bengkulu Tengah,15600000,20191857.14,3
Bengkulu Tengah,3507500,24714710.29,2
Bengkulu Tengah,54170000,39961428.57,2
Bengkulu Tengah,30035000,24267000,5
Bengkulu Tengah,15156000,14239714.29,2
Bengkulu Tengah,8420000,13470714.29,5
Kaur,22881230,31806142.86,3
Bengkulu Tengah,49208500,42919000,7
Kaur,10789000,11120000,1
Bengkulu Tengah,4038459,6308571.429,1
Bengkulu Tengah,8788097,10462794.29,2
Kaur,63600000,26965714.29,5
Bengkulu Tengah,27212858,39366571.43,4
Kota Bengkulu,37600000,48949000,4
Bengkulu Tengah,14282964,39922285.71,6
Bengkulu Tengah,5012267,25068571.43,2
Bengkulu Tengah,16595000,70449857.14,6
Bengkulu Tengah,23400000,31655142.86,5
Bengkulu Tengah,23385715,35803857.14,3
Kota Bengkulu,54900000,54278285.71,4
Bengkulu Tengah,20646016,26109285.71,3
Bengkulu Tengah,16728348,19340714.29,3
Kaur,53825449,7334571.429,1
Bengkulu Tengah,26680000,31178697.14,6
Kaur,23580898,24400571.43,3
Bengkulu Tengah,52240000,51990714.29,3
Bengkulu Tengah,34013585,33999392.86,3
Bengkulu Tengah,7500000,41346857.14,4
Bengkulu Tengah,26900000,25837285.71,5
Bengkulu Tengah,38120000,37396571.43,6
Bengkulu Tengah,81000000,99331714.29,2
Bengkulu Tengah,18648743,30896428.57,2
Bengkulu Tengah,13600000,41314714.29,4
Bengkulu Tengah,25270000,74517000,3
Bengkulu Tengah,6075378,20239571.43,5
Bengkulu Tengah,15641494,47040000,8
Bengkulu Tengah,64666329,54789000,4
Bengkulu Tengah,12600000,8997857.143,2
Bengkulu Tengah,7761511,16654571.43,1
Bengkulu Tengah,17611236,28116857.14,3
Bengkulu Tengah,26837645,41279142.86,4
Bengkulu Tengah,139995437,143498428.6,2
Bengkulu Tengah,20090000,28140971.43,4
Bengkulu Tengah,27880000,22258857.14,2
Kaur,35139000,70849142.86,6
Bengkulu Tengah,48769068,49970285.71,4
Bengkulu Tengah,11537019,22494571.43,3
Bengkulu Tengah,10180000,25285714.29,3
Bengkulu Tengah,51352030,27538857.14,5
Bengkulu Tengah,104566000,70337285.71,4
Kaur,22700000,32801857.14,4
Bengkulu Tengah,17305714,21433000,6
Bengkulu Tengah,27720000,19806857.14,2
Kaur,37700000,23067714.29,4
Bengkulu Tengah,13354000,19572285.71,2
Bengkulu Tengah,5719991,33960571.43,3
Bengkulu Tengah,12023000,23289714.29,2
Bengkulu Tengah,5853779,8990857.143,1
Bengkulu Tengah,15234357,19077642.86,3
Kaur,30115000,35256142.86,3
Kaur,8262364,25888142.86,3
Bengkulu Tengah,26500000,25370857.14,3
Bengkulu Tengah,21800000,32480000,4
Bengkulu Tengah,18940000,23353714.29,3
Bengkulu Tengah,33517627,26120571.43,5
Bengkulu Tengah,14390500,36557714.29,5
Bengkulu Tengah,29050000,18258285.71,3
Bengkulu Tengah,41840000,120750000,2
Bengkulu Tengah,21000000,22542857.14,3
Bengkulu Tengah,7740000,16703714.29,4
Kota Bengkulu,32885000,37233571.43,2
Bengkulu Tengah,9341441,36480000,4
Kaur,9900000,14312714.29,2
Bengkulu Tengah,49400000,49300948.57,2
Bengkulu Tengah,8620000,22945142.86,1
Kota Bengkulu,27200000,32751142.86,3
Bengkulu Tengah,52200000,86657857.14,3
Kaur,39060000,51050714.29,2
Bengkulu Tengah,44800000,34258000,4
Kaur,131806190,84546523.14,6
Bengkulu Tengah,33580000,23992428.57,4
Bengkulu Tengah,61630228,39482857.14,7
Bengkulu Tengah,12100000,11975000,2
Bengkulu Tengah,16840000,26993285.71,4
Kota Bengkulu,67622857,62004857.14,5
Bengkulu Tengah,43730000,86433857.14,4
Bengkulu Tengah,7450286,10817714.29,1
Bengkulu Tengah,44630000,43444571.43,6
Bengkulu Tengah,35500000,22376142.86,5
Bengkulu Tengah,13508176,28643142.86,1
Bengkulu Tengah,30120000,14241500,2
Bengkulu Tengah,13438000,21053142.86,2
Bengkulu Tengah,6501428,20635428.57,4
Kaur,32964718,29302857.14,6
Bengkulu Tengah,22107557,20441142.86,3
Kaur,36440000,27443571.43,3
Bengkulu Tengah,19385000,22815182.86,1
Bengkulu Tengah,32640000,22544857.14,6
Bengkulu Tengah,5800000,21512285.71,4
Bengkulu Tengah,349600000,145051714.3,7
Bengkulu Tengah,26500000,26058857.14,3
Kaur,43600000,34698428.57,3
Kaur,29000000,40126285.71,4
Bengkulu Tengah,49160000,7770285.714,5
Kaur,20788000,20984500,2
Bengkulu Tengah,33296000,31227428.57,4
Bengkulu Tengah,33030000,26121142.86,4
Bengkulu Tengah,23360000,38142857.14,5
Bengkulu Tengah,7760000,7487857.143,1
Kaur,18504000,12576142.86,5
Kota Bengkulu,10950000,27688228.57,1
Bengkulu Tengah,14605100,29869142.86,4
Kota Bengkulu,56613000,86411000,5
Kaur,20936158,17210857.14,4
Bengkulu Tengah,10639964,22562142.86,3
Bengkulu Tengah,28433779,22669714.29,4
Bengkulu Tengah,72490000,72209942.86,5
Bengkulu Tengah,57170000,50947142.86,3
Bengkulu Tengah,10926000,13542285.71,4
Bengkulu Tengah,85620000,74400314.29,2
Bengkulu Tengah,40200000,28506428.57,2
Bengkulu Tengah,21905000,26995714.29,5
Bengkulu Tengah,18570000,33117714.29,3
Kaur,19531428,15195714.29,2
Bengkulu Tengah,22980723,15942857.14,1
Bengkulu Tengah,6700000,15140857.14,2
Bengkulu Tengah,31388572,30575714.29,3
Bengkulu Tengah,19910668,14991714.29,6
Kota Bengkulu,66542000,57201554.29,6
Kaur,29300000,26782142.86,3
Bengkulu Tengah,16618000,12639714.29,1
Kaur,36599000,34313285.71,4
Bengkulu Tengah,37160000,25447571.43,3
