kab,penerimaan,pengeluaran,jumlah_art
Kaur,65293000,65886714.29,3
Kota Bengkulu,42000000,43358571.43,2
Bengkulu Tengah,31925000,48685571.43,5
Kaur,31710000,28002142.86,4
Bengkulu Tengah,201358313,202357428.6,4
Kaur,12497428,12148285.71,1
Kaur,34899285,34497000,3
Bengkulu Tengah,18900000,22168285.71,3
Kota Bengkulu,39791000,36850857.14,7
Bengkulu Tengah,45668571,45421436.57,6
Bengkulu Tengah,25300000,76157142.86,5
Kaur,32150000,34940000,5
Bengkulu Tengah,88865800,56541857.14,6
Bengkulu Tengah,110000000,94529714.29,4
Bengkulu Tengah,13440294,49101714.29,5
Bengkulu Tengah,8400000,24199047.29,3
Kota Bengkulu,39550000,40296857.14,4
Bengkulu Tengah,23762572,24375714.29,5
Bengkulu Tengah,29210000,63119428.57,3
Bengkulu Tengah,36500000,36334571.43,5
Bengkulu Tengah,72040000,71402108.57,4
Bengkulu Tengah,29459068,33854857.14,4
Bengkulu Tengah,29179912,47276142.86,4
Kota Bengkulu,16650000,50380142.86,4
Kota Bengkulu,62200000,77203142.86,4
Bengkulu Tengah,36300000,37645714.29,5
Kota Bengkulu,114378000,112511428.6,7
Bengkulu Tengah,44515000,58562142.86,3
Bengkulu Tengah,40761336,49024857.14,5
Bengkulu Tengah,62100000,45347000,4
Kaur,34155857,34484428.57,3
Bengkulu Tengah,124380500,11875857.14,2
Kaur,53100000,24086857.14,6
Kaur,28479600,28348571.43,5
Kaur,7200000,26763428.57,4
Bengkulu Tengah,38208534,20510857.14,2
Bengkulu Tengah,45200000,44487714.29,5
Bengkulu Tengah,42679779,57093285.71,6
Kaur,258905000,80524714.29,6
Bengkulu Tengah,4714000,14500000,3
Kota Bengkulu,31570000,34750571.43,6
Bengkulu Tengah,28100000,34238285.71,4
Kaur,33422000,61587571.43,7
Kota Bengkulu,29760000,119016428.6,6
Bengkulu Tengah,47100000,41728142.86,4
Kaur,16434000,25828714.29,6
Bengkulu Tengah,67497000,58985714.29,4
Kota Bengkulu,68882857,56977571.43,4
Bengkulu Tengah,13355144,16047714.29,2
Bengkulu Tengah,8555741,24323000,6
Bengkulu Tengah,15410000,18520285.71,2
Bengkulu Tengah,55200000,47936857.14,3
Kaur,34019643,32192285.71,2
Bengkulu Tengah,47642856,60035017.14,5
Bengkulu Tengah,21749165,37956428.57,3
Bengkulu Tengah,115255719,77401428.57,3
Kaur,27680919,46481428.57,6
Bengkulu Tengah,4220741,26043571.43,5
Kaur,23000000,22890714.29,5
Bengkulu Tengah,9158000,25368000,3
Bengkulu Tengah,9240000,31873142.86,4
Bengkulu Tengah,79380000,89575714.29,2
Bengkulu Tengah,26923023,28496857.14,4
Bengkulu Tengah,44830228,44988285.71,5
Bengkulu Tengah,46850000,27473714.29,4
Kaur,20600000,13362000,2
Bengkulu Tengah,12936000,18105142.86,3
Kota Bengkulu,31040000,43178857.14,6
Kaur,27934300,22642285.71,1
Bengkulu Tengah,99977557,95518428.57,6
Kaur,20792857,21171857.14,2
Bengkulu Tengah,67072000,40766857.14,4
Kaur,19856553,64386857.14,3
Bengkulu Tengah,20010000,20598285.71,4
Kaur,14610000,17722142.86,2
Bengkulu Tengah,13742267,11880285.71,4
Bengkulu Tengah,51050000,50935714.29,8
Kota Bengkulu,21154285,19596000,3
Bengkulu Tengah,11097400,9661471.429,2
Bengkulu Tengah,12184534,48338857.14,3
Bengkulu Tengah,16565000,20368285.71,6
Kaur,48700000,22261142.86,1
Kota Bengkulu,90760000,34194000,2
Bengkulu Tengah,52500000,90980285.71,3
Kaur,18346428,48980142.86,7
Bengkulu Tengah,34918046,27440714.29,5
Bengkulu Tengah,5600000,21201428.57,4
Kota Bengkulu,164152000,84376714.29,5
Kota Bengkulu,50120000,103999428.6,8
Kaur,36050000,31986142.86,3
Bengkulu Tengah,21070000,20772757.14,4
Bengkulu Tengah,22000000,25978714.29,3
Kota Bengkulu,680000,13285428.57,1
Kaur,23800000,23527500,4
Kota Bengkulu,281500000,155993142.9,3
Bengkulu Tengah,13485000,30185142.86,5
Bengkulu Tengah,37660000,40998000,5
Bengkulu Tengah,30240000,25850571.43,4
Bengkulu Tengah,9532557,18329714.29,3
Bengkulu Tengah,29157858,28779428.57,4
Kota Bengkulu,47450000,83035428.57,3
Bengkulu Tengah,16560000,23691000,3
Kota Bengkulu,31009381,45747000,3
Bengkulu Tengah,71700000,61564285.71,4
Kaur,52830000,65208571.43,4
Kota Bengkulu,32390000,56962857.14,6
Bengkulu Tengah,7500000,21791428.57,3
Bengkulu Tengah,28230000,32964028.57,4
Kaur,40976000,55155142.86,3
Bengkulu Tengah,17720000,29560571.43,5
Bengkulu Tengah,94728572,50673571.43,4
Bengkulu Tengah,32116000,31308571.43,5
Bengkulu Tengah,40200000,52370000,5
Bengkulu Tengah,106614000,102703428.6,5
Kaur,45800000,30741428.57,3
Bengkulu Tengah,29283626,41851714.29,3
Bengkulu Tengah,17039947,18418282.86,3
Bengkulu Tengah,74420000,72583571.43,4
Kaur,134671428,51081285.71,3
Bengkulu Tengah,14260000,14166000,2
Bengkulu Tengah,27577143,25006285.71,6
Kota Bengkulu,82438000,72260285.71,5
Kaur,36700000,36626428.57,5
Bengkulu Tengah,20190000,19995000,3
Bengkulu Tengah,7771446,29409714.29,3
Kota Bengkulu,40057000,43718428.57,4
Bengkulu Tengah,11115000,26168857.14,2
Kota Bengkulu,12800000,27761428.57,3
Bengkulu Tengah,32310000,35187285.71,2
Bengkulu Tengah,10800000,38531571.43,11
Bengkulu Tengah,11110756,15847142.86,4
Bengkulu Tengah,60145000,59826285.71,5
Bengkulu Tengah,21352000,18591571.43,3
Bengkulu Tengah,34615114,52854000,5
Bengkulu Tengah,64560000,64495285.71,5
Kaur,76130000,61410714.29,5
Kaur,28582856,28571714.29,2
Kota Bengkulu,33200000,20949285.71,1
Bengkulu Tengah,11195000,28054571.43,3
Kaur,52654857,52708142.86,6
Bengkulu Tengah,23180000,23429571.43,3
Kota Bengkulu,103748000,87554160,8
Kota Bengkulu,26833000,32814285.71,2
Kaur,18001125,21234428.57,3
Bengkulu Tengah,57762000,55229785.71,5
Kota Bengkulu,55420000,57313142.86,3
Bengkulu Tengah,31550000,29721428.57,1
Bengkulu Tengah,23058000,23054571.43,4
Bengkulu Tengah,12575000,30275285.71,4
Bengkulu Tengah,31405858,52417071.43,4
Bengkulu Tengah,10440000,28562571.43,3
Bengkulu Tengah,21836081,30768571.43,5
Kota Bengkulu,54800000,45086000,1
Bengkulu Tengah,20240000,20974285.71,2
Bengkulu Tengah,7301143,12020571.43,1
Bengkulu Tengah,53708000,156892285.7,3
Bengkulu Tengah,15200000,18990000,2
Bengkulu Tengah,15582827,24333714.29,4
Bengkulu Tengah,12225000,23555428.57,5
Bengkulu Tengah,16180000,39402000,4
Kaur,85559000,24462857.14,4
Bengkulu Tengah,15920000,17967142.86,2
Bengkulu Tengah,32560000,13459714.29,4
Bengkulu Tengah,23840000,42988571.43,4
Bengkulu Tengah,30002000,24760428.57,3
Kaur,22210152,29526000,4
Bengkulu Tengah,20096000,30647571.43,3
Bengkulu Tengah,57370000,57070857.14,4
Bengkulu Tengah,43400000,41457857.14,4
Bengkulu Tengah,37016000,35906571.43,3
Bengkulu Tengah,26770000,30355714.29,4
Bengkulu Tengah,207600000,48688285.71,4
Kota Bengkulu,35101428,34936571.43,4
Bengkulu Tengah,80371428,44600428.57,6
Kaur,46900000,43153285.71,6
Bengkulu Tengah,11870668,18154857.14,3
Bengkulu Tengah,50700000,48829571.43,2
Bengkulu Tengah,53700000,69128000,3
Bengkulu Tengah,24700000,17788857.14,5
Bengkulu Tengah,25275000,25345714.29,5
Bengkulu Tengah,26200000,28330000,5
Kaur,55000000,41886285.71,7
Bengkulu Tengah,2287134,21499571.43,4
Bengkulu Tengah,9600000,16857142.86,3
Kota Bengkulu,57000000,45664857.14,3
Kaur,33340000,90890428.57,3
Kota Bengkulu,47178110,50503285.71,4
Bengkulu Tengah,28200000,27617142.86,5
Bengkulu Tengah,21190000,29441714.29,3
Bengkulu Tengah,20400000,31418214.29,4
Kota Bengkulu,95191182,99305000,3
Bengkulu Tengah,14400000,35003714.29,4
Bengkulu Tengah,91500000,91324428.57,4
Bengkulu Tengah,17920000,13431428.57,2
Bengkulu Tengah,12511429,12327142.86,3
Bengkulu Tengah,36801471,36235185.71,5
Bengkulu Tengah,34740423,40081071.43,2
Bengkulu Tengah,36300000,38109428.57,4
Bengkulu Tengah,51600000,34026428.57,6
Kaur,105807142,44215680,4
Bengkulu Tengah,51814000,54495142.86,3
Bengkulu Tengah,47320000,42753428.57,5
Kaur,86762000,99399257.14,4
Kaur,37549999,49140571.43,6
Kota Bengkulu,69505714,30756857.14,4
Bengkulu Tengah,37976818,35624571.43,4
Bengkulu Tengah,26520000,36993493.43,4
Bengkulu Tengah,18800000,18448571.43,4
Bengkulu Tengah,11750000,20775428.57,4
Bengkulu Tengah,11919000,17022000,5
Kaur,31933500,27973428.57,3
Kaur,71515000,31943502.86,4
Bengkulu Tengah,35400000,38516857.14,6
Bengkulu Tengah,21465625,19576714.29,2
Bengkulu Tengah,13538371,19517142.86,6
Kaur,59600000,48643245.71,6
Bengkulu Tengah,10600000,26396571.43,3
Bengkulu Tengah,16750000,32687571.43,4
Bengkulu Tengah,88420000,48181285.71,7
Bengkulu Tengah,9219440,19207428.57,5
Bengkulu Tengah,7060000,14490571.43,4
Kaur,26250000,28647285.71,5
Bengkulu Tengah,15976889,20746125.71,3
Bengkulu Tengah,61482000,55901857.14,4
Bengkulu Tengah,57310000,48667428.57,6
Bengkulu Tengah,66204287,72495428.57,8
Bengkulu Tengah,36681000,28857571.43,4
Bengkulu Tengah,23965142,24060428.57,2
Bengkulu Tengah,12758509,15666428.57,4
Kota Bengkulu,148720000,145037428.6,5
Kaur,66942857,42280142.86,2
Bengkulu Tengah,83766858,26236000,6
Kaur,22711000,48525411.43,5
Kaur,26900000,20656428.57,1
Kota Bengkulu,54796000,47062285.71,4
Kaur,29097142,32602982.86,3
Bengkulu Tengah,30520000,29217000,4
Bengkulu Tengah,20197000,28760000,5
Bengkulu Tengah,15200000,14702857.14,4
Bengkulu Tengah,27035000,29504000,4
Kota Bengkulu,66690000,46948857.14,3
Bengkulu Tengah,25300000,25752000,4
Bengkulu Tengah,128461511,43188857.14,3
Bengkulu Tengah,59070000,51135856.14,3
Bengkulu Tengah,9400000,9290714.286,1
Bengkulu Tengah,41300000,40140000,5
Kota Bengkulu,89400000,93119428.57,5
Bengkulu Tengah,90500000,45857571.43,2
Bengkulu Tengah,52100000,45384285.71,4
Bengkulu Tengah,28600000,26790000,3
Kaur,54500000,48669857.14,3
Bengkulu Tengah,62200000,47607571.43,4
Bengkulu Tengah,48478500,55858714.29,5
Bengkulu Tengah,14642857,27902000,3
Bengkulu Tengah,52114103,29278571.43,3
Kaur,26828000,27238150,3
Kaur,24304858,27930785.71,4
Bengkulu Tengah,22748571,18276142.86,4
Bengkulu Tengah,9415000,64529428.57,6
Bengkulu Tengah,55411800,44974085.71,5
Kaur,104962857,77253714.29,5
Kaur,10540866,19172000,3
Kaur,93750000,75825714.29,4
Kaur,323000000,92308428.57,4
Bengkulu Tengah,43950000,46376428.57,4
Bengkulu Tengah,51665000,24806000,10
Kota Bengkulu,82644581,98763906.29,2
Bengkulu Tengah,58800000,39751714.29,4
Bengkulu Tengah,155109000,149216571.4,6
Bengkulu Tengah,14381441,24639714.29,3
Kaur,10080000,24535285.71,6
Kaur,23400000,21369000,5
Bengkulu Tengah,8993779,51516125.71,7
Bengkulu Tengah,9594286,7814000,6
Bengkulu Tengah,31600000,51318285.71,4
Bengkulu Tengah,20090000,24391428.57,3
Kaur,9000000,27707700,5
Bengkulu Tengah,28446509,40590857.14,5
Bengkulu Tengah,53400000,64007714.29,4
Bengkulu Tengah,19362247,39408571.43,5
Bengkulu Tengah,65210000,79932142.86,7
Bengkulu Tengah,19850000,21841142.86,4
Bengkulu Tengah,29660000,25786000,4
Kota Bengkulu,27520000,28935857.14,4
Bengkulu Tengah,31520000,28400571.43,4
Kota Bengkulu,88800000,89286428.57,5
Bengkulu Tengah,8100000,20567428.57,5
Kota Bengkulu,83900000,57625142.86,6
Bengkulu Tengah,50068000,64199142.86,5
Kaur,38401532,20789714.29,5
Kaur,35400000,28000285.71,3
Bengkulu Tengah,38400000,40165714.29,4
Bengkulu Tengah,36400000,43800000,5
Bengkulu Tengah,14030000,35061357.14,3
Bengkulu Tengah,13464286,24444571.43,4
Bengkulu Tengah,55457143,92346428.57,6
Bengkulu Tengah,17571500,18548357.14,2
Bengkulu Tengah,41600000,40197000,3
Bengkulu Tengah,30681160,36440571.43,3
Bengkulu Tengah,78300000,37285142.86,5
Bengkulu Tengah,12100000,11459285.71,4
Bengkulu Tengah,22900000,28137142.86,5
Bengkulu Tengah,64061511,19314285.71,2
Bengkulu Tengah,12486000,12166857.14,3
Kota Bengkulu,59000000,83896857.14,4
Kota Bengkulu,88404285,98209965.71,6
Kaur,6984000,35532428.57,3
Bengkulu Tengah,9120000,19002000,1
Bengkulu Tengah,275660000,35884428.57,4
Kota Bengkulu,37028571,74535714.29,5
Bengkulu Tengah,42000000,25195571.43,2
Bengkulu Tengah,87000000,67998600,7
Bengkulu Tengah,22200000,64121142.86,6
Bengkulu Tengah,7130000,19947125.71,3
Bengkulu Tengah,26400000,13858857.14,3
Bengkulu Tengah,70540000,60095714.29,5
Bengkulu Tengah,21600000,20938142.86,1
Kaur,10681000,14777428.57,2
Bengkulu Tengah,83417142,68611285.71,5
Kota Bengkulu,111174930,89268571.43,6
Bengkulu Tengah,23850000,39634142.86,4
Kota Bengkulu,61240000,72619428.57,2
Bengkulu Tengah,52937000,73439428.57,5
Kota Bengkulu,23600000,44299857.14,6
Bengkulu Tengah,5873000,34192000,5
Bengkulu Tengah,17309824,21813571.43,3
Bengkulu Tengah,48900000,53080285.71,4
Bengkulu Tengah,48760000,41977857.14,4
Bengkulu Tengah,10969068,19331542.86,3
Bengkulu Tengah,55386541,37716285.71,3
Bengkulu Tengah,20501336,43268142.86,4
Kaur,22914285,22904146.43,5
Kaur,97243371,61959000,3
Bengkulu Tengah,71040000,30832857.14,5
Kaur,22967142,17859914.29,3
Kaur,119900000,164735142.9,5
Kaur,29175000,34338428.57,4
Bengkulu Tengah,74350000,81958428.57,5
Kaur,22390000,49278142.86,2
Kota Bengkulu,42000000,52612857.14,4
Bengkulu Tengah,20000000,103761428.6,3
Bengkulu Tengah,25800000,12688428.57,4
Kota Bengkulu,43677000,28290571.43,4
Bengkulu Tengah,33903435,10532000,2
Bengkulu Tengah,161540000,82035714.29,2
Bengkulu Tengah,17026046,19611142.86,3
Kaur,23466230,19252714.29,3
Bengkulu Tengah,31800000,28396000,4
Kaur,62400000,54348394.29,5
Bengkulu Tengah,3272000,25903285.71,4
Kaur,9667143,21410285.71,3
Kaur,33155428,20083428.57,2
Kaur,23321563,22932571.43,5
Kota Bengkulu,42000000,46435714.29,6
Kota Bengkulu,71260000,57611428.57,5
Kota Bengkulu,17565000,40209428.57,5
Bengkulu Tengah,34316000,55226571.43,4
Bengkulu Tengah,6520000,8023714.286,3
Kaur,88211285,51733142.86,6
Kota Bengkulu,24600000,36877428.57,4
Bengkulu Tengah,20076000,26291428.57,5
Bengkulu Tengah,24095000,6771428.571,5
Bengkulu Tengah,147625714,55433428.57,2
Kota Bengkulu,29300000,21097142.86,3
Kaur,60000000,51391428.57,3
Bengkulu Tengah,46700000,52002285.71,5
Kaur,39572000,24345865.14,1
Bengkulu Tengah,47300000,36430428.57,3
Kota Bengkulu,31040000,29720231.43,3
Bengkulu Tengah,7638445,38596571.43,4
Kota Bengkulu,111600000,78874285.71,7
Bengkulu Tengah,14817557,27772285.71,4
Bengkulu Tengah,52142000,43112000,3
Kota Bengkulu,23931668,55200000,4
Kaur,23713717,17191714.29,3
Kaur,17082000,31832571.43,4
Bengkulu Tengah,32047964,58065714.29,5
Bengkulu Tengah,44680000,44587142.86,4
Bengkulu Tengah,22782857,31359142.86,4
Bengkulu Tengah,43450000,43351714.29,4
Kaur,73186428,54371142.86,5
Bengkulu Tengah,47959000,26377285.71,10
Bengkulu Tengah,60900000,86093000,4
Kaur,24840000,25735428.57,6
Bengkulu Tengah,23500000,25335142.86,2
Bengkulu Tengah,6600000,8841428.571,4
Kota Bengkulu,35528500,47098017.14,5
Kaur,130500000,38293000,5
Bengkulu Tengah,46770000,39918857.14,4
Bengkulu Tengah,13550000,34882857.14,5
Kaur,51533571,51260571.43,2
Bengkulu Tengah,36771500,28220357.14,3
Bengkulu Tengah,25200000,17312571.43,2
Kaur,52500000,34008857.14,3
Bengkulu Tengah,9760000,33498000,3
Kaur,24721000,35113142.86,3
Bengkulu Tengah,35993814,36304428.57,4
Bengkulu Tengah,24832267,30098000,5
Kota Bengkulu,8000000,32188571.43,3
Bengkulu Tengah,80600000,67737428.57,4
Kaur,41000000,23654714.29,2
Kota Bengkulu,44500000,38720142.86,4
Bengkulu Tengah,17400000,21235000,4
Bengkulu Tengah,7542000,24802714.29,4
Bengkulu Tengah,5400000,26035714.29,2
Bengkulu Tengah,28920000,31687000,2
Bengkulu Tengah,27050000,19607142.86,5
Bengkulu Tengah,25093541,29455857.14,4
Bengkulu Tengah,138670000,45260000,3
Kota Bengkulu,32900000,42348579.43,3
Bengkulu Tengah,152339000,49170857.14,5
Bengkulu Tengah,43937000,25172857.14,4
Kaur,29742857,31361142.86,4
Bengkulu Tengah,41300000,1371428.571,5
Kaur,21652500,28077142.86,3
Kota Bengkulu,24300000,40454571.43,5
Bengkulu Tengah,213365000,46433000,4
Bengkulu Tengah,36077759,47280000,4
Kota Bengkulu,158300000,48365714.29,5
Bengkulu Tengah,73580000,45700285.71,6
Kota Bengkulu,62000000,60520285.71,8
Kaur,35056000,37530800,4
Bengkulu Tengah,21381336,43557142.86,5
Kota Bengkulu,51240000,47679914.29,5
Bengkulu Tengah,190120000,59003428.57,2
Bengkulu Tengah,61500000,25568142.86,4
Kota Bengkulu,37945949,44237142.86,6
Kaur,21406000,43495657.14,4
Kota Bengkulu,27840000,41108714.29,5
Bengkulu Tengah,36572143,30573028.57,4
Bengkulu Tengah,14850000,10412142.86,6
Bengkulu Tengah,29340000,29272714.29,3
Kota Bengkulu,19976000,29260142.86,3
Bengkulu Tengah,27200000,27303142.86,4
Kota Bengkulu,338500000,144167428.6,2
Bengkulu Tengah,122900000,72847432.57,6
Bengkulu Tengah,6280000,22085571.43,4
Bengkulu Tengah,52800000,51529142.86,5
Kaur,62025000,25411000,6
Kaur,20300000,27368142.86,3
Bengkulu Tengah,39650000,30344714.29,4
Kaur,11780000,19157142.86,4
Bengkulu Tengah,39630228,20332714.29,4
Kaur,18400000,41522285.71,12
Bengkulu Tengah,21600000,58597000,7
Kota Bengkulu,46040000,78220714.29,4
Bengkulu Tengah,12180000,11687857.14,1
Kota Bengkulu,57757000,39323428.57,4
Bengkulu Tengah,3200000,16300571.43,2
Bengkulu Tengah,69200000,63490857.14,4
Kota Bengkulu,49101626,52864285.71,5
Kota Bengkulu,46880000,41600000,3
Kota Bengkulu,2000000,54311285.71,3
Bengkulu Tengah,29300000,28231428.57,2
Bengkulu Tengah,24200000,34511428.57,5
Bengkulu Tengah,8218445,36893142.86,4
Kaur,39820000,39516714.29,8
Kaur,18658460,19515857.14,2
Kota Bengkulu,13450000,16558142.86,1
Bengkulu Tengah,54000000,60318714.29,6
Bengkulu Tengah,12100000,8892857.143,2
Kaur,31286000,30586142.86,2
Bengkulu Tengah,27870000,36526428.57,4
Kaur,27449969,53226000,9
Bengkulu Tengah,157400000,61640000,4
Bengkulu Tengah,17400000,16123428.57,3
Bengkulu Tengah,47140000,16453714.29,2
Kaur,57440500,31866142.86,3
Kota Bengkulu,33100000,39151902.86,3
Bengkulu Tengah,39200000,43370571.43,2
Kaur,22180000,19861714.29,3
Kota Bengkulu,17800000,24164428.57,3
Kota Bengkulu,93630000,75534857.14,5
Bengkulu Tengah,98450000,68316714.29,3
Kaur,20836075,34627071.43,4
Bengkulu Tengah,11937000,13795571.43,1
Kota Bengkulu,13708500,14091257.14,1
Bengkulu Tengah,106800000,96148571.43,4
Bengkulu Tengah,15764286,33487285.71,3
Kota Bengkulu,35160000,36079714.29,3
Bengkulu Tengah,63606000,45029285.71,4
Bengkulu Tengah,37350000,37335714.29,4
Kota Bengkulu,41150000,38447000,1
Bengkulu Tengah,43600000,33583285.71,3
Kaur,37624000,56015714.29,5
Kaur,87000000,41272000,3
Kota Bengkulu,317300000,163744857.1,7
Bengkulu Tengah,250867500,262322197.1,5
Kaur,40160000,48518428.57,7
Kaur,42000000,67962142.86,5
Bengkulu Tengah,17576769,31949571.43,4
Bengkulu Tengah,20500000,36452571.43,4
Bengkulu Tengah,70350000,68835000,3
Bengkulu Tengah,25430668,22055428.57,2
Kota Bengkulu,37322000,37194285.71,4
Bengkulu Tengah,28429000,27058571.43,1
Bengkulu Tengah,38215333,44199428.57,3
Bengkulu Tengah,62880000,51440571.43,6
Bengkulu Tengah,26746148,43900000,3
Kaur,23500000,23157285.71,5
Bengkulu Tengah,55800000,53878268.57,4
Bengkulu Tengah,46000000,74238542.86,4
Kaur,95502971,68649428.57,6
Kaur,83885713,69209714.29,3
Bengkulu Tengah,43888571,34855714.29,4
Kaur,30490000,39041985.71,6
Bengkulu Tengah,22381000,43428928.57,4
Kaur,22164309,26897771.43,5
Bengkulu Tengah,37000000,66577142.86,3
Bengkulu Tengah,129969186,63411428.57,3
Kaur,25180000,29854285.71,4
Bengkulu Tengah,233700000,161793142.9,5
Bengkulu Tengah,44404000,38874714.29,4
Bengkulu Tengah,30492267,23605000,4
Kota Bengkulu,17000000,66957714.29,2
Bengkulu Tengah,28567500,27859285.71,5
Kaur,14768000,14768000,1
Kota Bengkulu,80667250,63799054.29,5
Kaur,61745926,114359285.7,3
Bengkulu Tengah,33180000,23883857.14,4
Kota Bengkulu,63200000,79587357.14,4
Bengkulu Tengah,69150000,69132708,5
Bengkulu Tengah,29260000,36156428.57,6
Bengkulu Tengah,22350000,19066000,1
Kota Bengkulu,21000000,42922857.14,5
Kota Bengkulu,57703000,56682571.43,6
Kota Bengkulu,1484510000,124045714.3,5
Bengkulu Tengah,104520000,93292285.71,6
Kota Bengkulu,61400000,51583571.43,4
Kaur,33148000,37661975.86,2
Kota Bengkulu,55000000,50911428.57,8
Bengkulu Tengah,29160000,38452714.29,3
Bengkulu Tengah,38180000,33477428.57,4
Bengkulu Tengah,69815290,68395571,4
Bengkulu Tengah,93922000,65995571.43,2
Bengkulu Tengah,34306633,31196428.57,4
Bengkulu Tengah,52485000,31405857.14,2
Bengkulu Tengah,30473779,32529999.71,4
Kota Bengkulu,25400000,60513142.86,6
Bengkulu Tengah,145900000,64558571.43,7
Bengkulu Tengah,7800000,10244142.86,2
Bengkulu Tengah,12440000,24520285.71,4
Bengkulu Tengah,15808000,34026000,5
Bengkulu Tengah,60699813,26010714.29,3
Kaur,18037857,25777428.57,4
Bengkulu Tengah,139920000,62207057.14,5
Bengkulu Tengah,26405714,41585142.86,3
Bengkulu Tengah,36600000,34760428.57,5
Kaur,18708000,17000714.29,5
Bengkulu Tengah,68000000,48727857.14,3
Kota Bengkulu,42000000,40599428.57,5
Kaur,712210000,256853885.7,7
Bengkulu Tengah,42340000,25004142.86,5
Kaur,113953450,59117164.29,5
Bengkulu Tengah,47300000,43304285.71,6
Bengkulu Tengah,17012000,42871428.57,5
Bengkulu Tengah,32920000,21743285.71,6
Bengkulu Tengah,32261336,26804142.86,2
Bengkulu Tengah,8431000,51645857.14,4
Bengkulu Tengah,58500000,52376285.71,4
Bengkulu Tengah,27987627,59838571.43,4
Bengkulu Tengah,80450000,53811000,3
Bengkulu Tengah,21950000,44292285.71,3
Bengkulu Tengah,99845000,52693142.86,4
Bengkulu Tengah,67100000,48254000,4
Bengkulu Tengah,29200000,45025857.14,5
Bengkulu Tengah,67158857,51282571.43,4
Kaur,75650000,57984571.43,6
Bengkulu Tengah,29665286,29995285.71,5
Bengkulu Tengah,39495000,36416285.71,5
Kota Bengkulu,36700000,40446857.14,6
Bengkulu Tengah,23880000,33606857.14,4
Bengkulu Tengah,84313307,32596571.43,3
Kaur,61420000,62571142.86,6
Kaur,52000000,35168285.71,7
Bengkulu Tengah,20985714,20072142.86,5
Bengkulu Tengah,31184000,42006428.57,4
Bengkulu Tengah,22851500,38036571.43,4
Bengkulu Tengah,10320000,19300428.57,3
Kota Bengkulu,18353000,45191857.14,2
Bengkulu Tengah,103388572,69131714.29,3
Bengkulu Tengah,52322857,54642714.29,6
Bengkulu Tengah,19690000,20583714.29,2
Bengkulu Tengah,57550000,39279571.43,3
Bengkulu Tengah,86640000,36736000,4
Bengkulu Tengah,613298056,31990857.14,5
Bengkulu Tengah,34800000,34641428.57,4
Bengkulu Tengah,56940000,39008857.14,4
Kaur,71010000,48259142.86,4
Bengkulu Tengah,34440000,34214005.71,5
Bengkulu Tengah,18580000,18323142.86,2
Bengkulu Tengah,24068000,29946142.86,4
Bengkulu Tengah,21600000,18750857.14,5
Kaur,117000000,101906108.6,4
Bengkulu Tengah,31801000,45679571.43,6
Kaur,27240000,37422857.14,4
Bengkulu Tengah,15130000,23449000,2
Kota Bengkulu,14248750,23126428.57,1
Bengkulu Tengah,14180000,34990714.29,6
Bengkulu Tengah,18323189,29348285.71,1
Bengkulu Tengah,66935500,52324857.14,2
Kota Bengkulu,207000000,142286000,4
Kota Bengkulu,184050000,122761428.6,5
Kaur,93636482,71626142.86,4
Bengkulu Tengah,32810000,12644285.71,2
Bengkulu Tengah,61398000,47466428.57,4
Kota Bengkulu,22242500,36181285.71,1
Bengkulu Tengah,116474000,118238714.3,9
Bengkulu Tengah,38350000,41355714.29,5
Bengkulu Tengah,35835000,35557785.71,4
Bengkulu Tengah,28800000,101371428.6,4
Kaur,29368571,28954285.71,2
Bengkulu Tengah,51180000,50621285.71,3
Kota Bengkulu,58990000,55205857.14,4
Kaur,18910000,10587285.71,3
Bengkulu Tengah,51070819,50898571.43,5
Bengkulu Tengah,3360211,17106428.57,5
Bengkulu Tengah,33475000,31180428.57,3
Bengkulu Tengah,17861336,21844571.43,4
Kota Bengkulu,52180000,70318554.29,4
Kaur,28900000,20047142.86,3
Bengkulu Tengah,155700000,134714714.3,2
Bengkulu Tengah,18450000,22167571.43,3
Kota Bengkulu,77400000,85615714.29,4
Bengkulu Tengah,13680000,13425714.29,3
Bengkulu Tengah,35193984,40747571.43,4
Kota Bengkulu,214600000,162982857.1,5
Kaur,67920000,65151428.57,4
Kaur,16185000,18800571.43,2
Kaur,51892000,30777000,4
Bengkulu Tengah,45165000,43400285.71,3
Kota Bengkulu,64676667,39115285.71,3
Bengkulu Tengah,82850000,62214714.29,5
Bengkulu Tengah,54500000,51786714.29,4
Kaur,42630000,40920000,3
Kaur,42868207,44748714.29,3
Kaur,42420000,28847142.86,3
Bengkulu Tengah,46117336,51266714.29,3
Bengkulu Tengah,66500000,36260285.71,5
Kaur,43000000,45753571.43,3
Kaur,82059484,38485428.57,2
Bengkulu Tengah,12000000,15321285.71,4
Bengkulu Tengah,15740000,26290714.29,3
Kaur,187149460,92736142.86,4
Bengkulu Tengah,30820000,39535285.71,2
Bengkulu Tengah,182100000,245971714.3,5
Bengkulu Tengah,40756000,36961285.71,4
Kaur,59711427,81424285.71,3
Bengkulu Tengah,25998572,14667357.14,5
Kaur,39140000,57247571.43,6
Bengkulu Tengah,12882779,24510142.86,3
Bengkulu Tengah,270400000,94045428.57,4
Bengkulu Tengah,115800000,69758714.29,5
Bengkulu Tengah,31584000,39317714.29,7
Kaur,99900000,19978000,4
Kaur,10176000,19037285.71,5
