pend_krt,jumlah_art,penerimaan,pengeluaran
1,1,23385715,35803857.14
1,1,54900000,54278285.71
1,1,20646016,26109285.71
1,1,16728348,19340714.29
1,1,53825449,7334571.429
1,1,23580898,24400571.43
1,1,52240000,51990714.29
1,1,34013585,33999392.86
1,1,7500000,41346857.14
1,1,81000000,99331714.29
1,1,18648743,30896428.57
1,1,13600000,41314714.29
1,1,25270000,74517000
1,1,64666329,54789000
1,1,12600000,8997857.143
1,1,7761511,16654571.43
1,1,17611236,28116857.14
1,1,26837645,41279142.86
1,1,139995437,143498428.6
1,1,20090000,28140971.43
1,1,27880000,22258857.14
1,1,48769068,49970285.71
1,1,11537019,22494571.43
1,1,10180000,25285714.29
1,1,104566000,70337285.71
1,1,22700000,32801857.14
1,1,27720000,19806857.14
1,1,37700000,23067714.29
1,1,13354000,19572285.71
1,1,5719991,33960571.43
1,1,12023000,23289714.29
1,1,5853779,8990857.143
1,1,15234357,19077642.86
1,1,30115000,35256142.86
1,1,8262364,25888142.86
1,1,26500000,25370857.14
1,1,21800000,32480000
1,1,18940000,23353714.29
1,1,29050000,18258285.71
1,1,41840000,120750000
1,1,21000000,22542857.14
1,1,7740000,16703714.29
1,1,32885000,37233571.43
1,1,9341441,36480000
1,1,9900000,14312714.29
1,1,49400000,49300948.57
1,1,8620000,22945142.86
1,1,27200000,32751142.86
1,1,52200000,86657857.14
1,1,39060000,51050714.29
1,1,44800000,34258000
1,1,33580000,23992428.57
1,1,12100000,11975000
1,1,16840000,26993285.71
1,1,43730000,86433857.14
1,1,7450286,10817714.29
1,1,13508176,28643142.86
1,1,30120000,14241500
1,1,13438000,21053142.86
1,1,6501428,20635428.57
1,1,22107557,20441142.86
1,1,36440000,27443571.43
1,1,19385000,22815182.86
1,1,5800000,21512285.71
1,1,26500000,26058857.14
1,1,43600000,34698428.57
1,1,29000000,40126285.71
1,1,20788000,20984500
1,1,33296000,31227428.57
1,1,33030000,26121142.86
1,1,7760000,7487857.143
1,1,10950000,27688228.57
1,1,14605100,29869142.86
1,1,20936158,17210857.14
1,1,10639964,22562142.86
1,1,28433779,22669714.29
1,1,57170000,50947142.86
1,1,10926000,13542285.71
1,1,85620000,74400314.29
1,1,40200000,28506428.57
1,1,18570000,33117714.29
1,1,19531428,15195714.29
1,1,22980723,15942857.14
1,1,6700000,15140857.14
1,1,31388572,30575714.29
1,1,29300000,26782142.86
1,1,16618000,12639714.29
1,1,36599000,34313285.71
1,1,37160000,25447571.43
1,1,26440000,26394000
1,1,8368520,39392854.14
1,1,4627511,7107942.857
1,1,45851000,52914000
1,1,68980072,53112857.14
1,1,41600000,72037142.86
1,1,22738571,26794428.57
1,1,146000000,17442857.14
1,1,5984534,8222142.857
1,1,473820000,124816000
1,1,11236000,14978571.43
1,1,17364000,20878485.71
1,1,12200000,11067714.29
1,1,30500000,18771714.29
1,1,6827500,34200142.86
1,1,21320000,22107857.14
1,1,46800000,35793857.14
1,1,30693720,43189428.57
1,1,7600000,46235142.86
1,1,38814286,29679714.29
1,1,27383031,16187142.86
1,1,245609176,255220571.4
1,1,52860000,29695857.14
1,1,24017070,25348285.71
1,1,37707469,23345428.57
1,1,39984000,36526500
1,1,4100000,9136285.714
1,1,36300000,39563714.29
1,1,29845284,26867142.86
1,1,58470821,56479142.86
1,1,37790000,25844428.57
1,1,40770500,28818000
1,1,34500000,38152142.86
1,1,12300000,16137142.86
1,1,19665000,27812714.29
1,1,17205000,39713142.86
1,1,18792395,17522857.14
1,1,26200000,26470000
1,1,48000000,49348857.14
1,1,42816000,32725857.14
1,1,46800000,24501857.14
1,1,17450000,17674000
1,1,49095000,37506142.86
1,1,20784916,28620000
1,1,6704364,35700000
1,1,13010000,15574428.57
1,1,98675000,79242857.14
1,1,71035000,27585142.86
1,1,25464000,25422142.86
1,1,25820000,29686285.71
1,1,4550756,17152857.14
1,1,102720000,76563094.57
1,1,20153779,25432865.14
1,1,85623000,80871085.71
1,1,33071428,12667428.57
1,1,19887000,18490000
1,1,32248091,40325000
1,1,45118000,46100714.29
1,1,20545000,19783214.29
1,1,57000000,92140428.57
1,1,36378751,53629714.29
1,1,22575000,21037142.86
1,1,22830000,40913857.14
1,1,42100580,31763357.14
1,1,11647428,11832571.43
1,1,70280000,46945285.71
1,1,23200000,27574285.71
1,1,23267000,34579428.57
1,1,2184593,9382285.714
1,1,23714000,17386982.86
1,1,39950000,39477714.29
1,1,35715000,47357142.86
1,1,16627500,10438714.29
1,1,4507645,53467571.43
1,1,21400000,14684285.71
1,1,27675334,47013857.14
1,1,66910000,33622285.71
1,1,45550000,41801428.57
1,1,36224000,33985000
1,1,17400000,19541142.86
1,1,43468000,78691571.43
1,1,8800000,25669142.86
1,1,12720000,24955857.14
1,1,14095382,30265571.43
1,1,17250000,15641428.57
1,1,16135000,32824428.57
1,1,17850000,14864714.29
1,1,41860000,29713714.29
1,1,42600000,50703214.29
1,1,34100000,28378285.71
1,1,16620000,20318714.29
1,1,6739148,29741428.57
1,1,32896000,28060428.57
1,1,27923602,47474285.71
1,1,6656000,15081571.43
1,1,17900000,21679285.71
1,1,31815000,33630000
1,1,70290000,55161285.71
1,1,31861000,31838714.29
1,1,17300000,50375714.29
1,1,21850000,17506428.57
1,1,41448000,28739428.57
1,1,30630000,54813428.57
1,1,50800000,49969142.86
1,1,10310000,6289285.714
1,1,24884000,32759142.86
1,1,21263591,21855500
1,1,47337000,42598571.43
1,1,8160000,25479714.29
1,1,9986000,25769857.14
1,1,15400000,26372857.14
1,1,34415000,15949714.29
1,1,114105000,43873857.14
1,1,72970000,56897428.57
1,1,36808678,65499142.86
1,1,62400000,52682000
1,1,29924297,7666285.714
1,1,13312000,19850857.14
1,1,67900000,41553714.29
1,1,11052029,19587171.43
1,1,21900000,23392285.71
1,1,79250000,45901714.29
1,1,14610000,21391571.43
1,1,35372258,51165857.14
1,1,14688000,15619285.71
1,1,23450000,23406142.86
1,1,20033399,20138428.57
1,1,41968333,72172000
1,1,86100000,68992268.57
1,1,66631428,64975142.86
1,1,28020000,27325571.43
1,1,59920000,53949857.14
1,1,10300000,51860285.71
1,1,41100000,35914285.71
1,1,22065000,28403571.43
1,1,57436836,70843907.43
1,1,32300000,24203428.57
1,1,30399765,29618142.86
1,1,24762000,24161714.29
1,1,47120000,57406571.43
1,1,13114285,17509857.14
1,1,34204359,37659000
1,1,35880000,42825714.29
1,1,8980000,19286285.71
1,1,28000000,74753714.29
1,1,19250000,19208142.86
1,1,45120000,45059714.29
1,1,12792000,12721000
1,1,58261500,67658142.86
1,1,34368000,33916714.29
1,1,14620000,28867857.14
1,1,25700000,22018571.43
1,1,14300000,17080714.29
1,1,54630000,63196000
1,1,29065714,28680428.57
1,1,65293000,65886714.29
1,1,42000000,43358571.43
1,1,31710000,28002142.86
1,1,201358313,202357428.6
1,1,12497428,12148285.71
1,1,34899285,34497000
1,1,18900000,22168285.71
1,1,110000000,94529714.29
1,1,8400000,24199047.29
1,1,39550000,40296857.14
1,1,29210000,63119428.57
1,1,72040000,71402108.57
1,1,29459068,33854857.14
1,1,29179912,47276142.86
1,1,16650000,50380142.86
1,1,62200000,77203142.86
1,1,44515000,58562142.86
1,1,62100000,45347000
1,1,34155857,34484428.57
1,1,124380500,11875857.14
1,1,7200000,26763428.57
1,1,38208534,20510857.14
1,1,4714000,14500000
1,1,28100000,34238285.71
1,1,47100000,41728142.86
1,1,67497000,58985714.29
1,1,68882857,56977571.43
1,1,13355144,16047714.29
1,1,15410000,18520285.71
1,1,55200000,47936857.14
1,1,34019643,32192285.71
1,1,21749165,37956428.57
1,1,115255719,77401428.57
1,1,9158000,25368000
1,1,9240000,31873142.86
1,1,79380000,89575714.29
1,1,26923023,28496857.14
1,1,46850000,27473714.29
1,1,20600000,13362000
1,1,12936000,18105142.86
1,1,27934300,22642285.71
1,1,20792857,21171857.14
1,1,67072000,40766857.14
1,1,19856553,64386857.14
1,1,20010000,20598285.71
1,1,14610000,17722142.86
1,1,13742267,11880285.71
1,1,21154285,19596000
1,1,11097400,9661471.429
1,1,12184534,48338857.14
1,1,48700000,22261142.86
1,1,90760000,34194000
1,1,52500000,90980285.71
1,1,5600000,21201428.57
1,1,36050000,31986142.86
1,1,21070000,20772757.14
1,1,22000000,25978714.29
1,1,680000,13285428.57
1,1,23800000,23527500
1,1,281500000,155993142.9
1,1,30240000,25850571.43
1,1,9532557,18329714.29
1,1,29157858,28779428.57
1,1,47450000,83035428.57
1,1,16560000,23691000
1,1,31009381,45747000
1,1,71700000,61564285.71
1,1,52830000,65208571.43
1,1,7500000,21791428.57
1,1,28230000,32964028.57
1,1,40976000,55155142.86
1,1,94728572,50673571.43
1,1,45800000,30741428.57
1,1,29283626,41851714.29
1,1,17039947,18418282.86
1,1,74420000,72583571.43
1,1,134671428,51081285.71
1,1,14260000,14166000
1,1,20190000,19995000
1,1,7771446,29409714.29
1,1,40057000,43718428.57
1,1,11115000,26168857.14
1,1,12800000,27761428.57
1,1,32310000,35187285.71
1,1,11110756,15847142.86
1,1,21352000,18591571.43
1,1,28582856,28571714.29
1,1,33200000,20949285.71
1,1,11195000,28054571.43
1,1,23180000,23429571.43
1,1,26833000,32814285.71
1,1,18001125,21234428.57
1,1,55420000,57313142.86
1,1,31550000,29721428.57
1,1,23058000,23054571.43
1,1,12575000,30275285.71
1,1,31405858,52417071.43
